,assay_chembl_id,molecule_chembl_id,standard_value,pIC50,canonical_smiles
20,CHEMBL976298,CHEMBL487833,50000.0,4.301029995663981,O=C1/C(=C/c2ccc(S(=O)(=O)[O-])cc2S(=O)(=O)[O-])SC(=S)N1c1cccc(C(F)(F)F)c1.[Na+].[Na+]
21,CHEMBL976298,CHEMBL461939,380.0,6.42021640338319,O=C(O)c1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1
22,CHEMBL976298,CHEMBL472192,13000.0,4.886056647693163,O=C(O)c1cccc(/C=C2\SC(=S)N(c3ccc(C(F)(F)F)cc3)C2=O)c1
23,CHEMBL976298,CHEMBL513075,12000.0,4.920818753952375,O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccccc3C(F)(F)F)C2=O)cc1
24,CHEMBL976298,CHEMBL472191,11000.0,4.958607314841775,O=C1/C(=C/c2cc(O)c(O)c(O)c2)SC(=S)N1c1cccc(C(F)(F)F)c1
25,CHEMBL976298,CHEMBL472190,8200.0,5.086186147616283,Cc1c(N2C(=O)/C(=C/c3ccc(C(=O)O)cc3)SC2=S)cccc1C(F)(F)F
26,CHEMBL976298,CHEMBL513068,8700.0,5.060480747381382,O=C1/C(=C/c2cc[n+]([O-])cc2)SC(=S)N1c1cccc(C(F)(F)F)c1
27,CHEMBL976298,CHEMBL461576,8000.0,5.096910013008056,O=C1/C(=C/c2cc(Br)c(O)c(Br)c2O)SC(=S)N1c1cccc(C(F)(F)F)c1
28,CHEMBL976298,CHEMBL518808,7000.0,5.154901959985743,O=C1/C(=C/c2cc(Br)c(O)c(Br)c2)SC(=S)N1c1cccc(C(F)(F)F)c1
29,CHEMBL976298,CHEMBL461575,7000.0,5.154901959985743,Cc1cccc(N2C(=O)/C(=C/c3ccc(C(=O)O)cc3)SC2=S)c1C
30,CHEMBL976298,CHEMBL450222,5000.0,5.301029995663981,Cc1cccc(N2C(=O)/C(=C/c3ccc(C(=O)O)cc3)SC2=S)c1
31,CHEMBL976298,CHEMBL461381,5000.0,5.301029995663981,O=C(O)c1cccc(/C=C2\SC(=S)N(c3ccc(F)c(C(F)(F)F)c3)C2=O)c1
32,CHEMBL976298,CHEMBL461941,2600.0,5.585026652029182,O=C(O)COc1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1
33,CHEMBL976298,CHEMBL461759,1500.0,5.823908740944319,O=C(O)c1cccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)c1
34,CHEMBL976298,CHEMBL460075,1500.0,5.823908740944319,O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccc(F)c(C(F)(F)F)c3)C2=O)cc1
35,CHEMBL976298,CHEMBL461375,1400.0,5.853871964321762,O=C(O)c1cc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)ccc1O
36,CHEMBL976298,CHEMBL461940,760.0,6.119186407719209,O=C1/C(=C/c2ccc(-c3nn[nH]n3)cc2)SC(=S)N1c1cccc(C(F)(F)F)c1
37,CHEMBL976298,CHEMBL452052,32000.0,4.494850021680094,O=C(O)c1cc(Nc2nc(-c3cccc(C(F)(F)F)c3)cs2)ccc1O
38,CHEMBL976298,CHEMBL451791,28000.0,4.552841968657781,O=C(O)c1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3)cs2)cc1
39,CHEMBL976298,CHEMBL452565,27000.0,4.568636235841013,O=C(O)c1ccc(CC2SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1
40,CHEMBL976298,CHEMBL452564,27000.0,4.568636235841013,O=C1C(C(=S)Nc2ccc(S(=O)(=O)[O-])o2)SC(=S)N1c1cccc(C(F)(F)F)c1.[Na+]
41,CHEMBL976298,CHEMBL451805,25000.0,4.6020599913279625,O=C(O)c1ccc(NC(=S)C2SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1O
42,CHEMBL976298,CHEMBL509100,11000.0,4.958607314841775,O=C1C(C(=S)Nc2ccc(S(=O)(=O)[O-])cc2)SC(=S)N1c1cccc(C(F)(F)F)c1.[Na+]
43,CHEMBL976298,CHEMBL451804,9000.0,5.045757490560675,O=C(O)c1ccc(NC(=S)C2SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1
44,CHEMBL976298,CHEMBL487654,7000.0,5.154901959985743,O=C(O)c1ccc(SC2CC(=O)N(c3cccc(C(F)(F)F)c3)C2=O)cc1
45,CHEMBL976298,CHEMBL488825,36000.0,4.443697499232712,O=C(O)c1ccc(NC2=C(Cl)C(=O)N(c3cccc(C(F)(F)F)c3)C2=O)cc1
46,CHEMBL976298,CHEMBL527432,17000.0,4.769551078621726,O=C1S/C(=C\c2ccc(-c3nn[nH]n3)cc2)C(=O)N1c1cccc(C(F)(F)F)c1
47,CHEMBL976298,CHEMBL488824,1400.0,5.853871964321762,O=C(O)c1ccc(/C=C2\SC(=O)N(c3cccc(C(F)(F)F)c3)C2=O)cc1
48,CHEMBL1227949,CHEMBL1221576,5000.0,5.301029995663981,O=C(CNc1ccc2ccccc2c1)N/N=C/c1cc(Br)c(O)c(Br)c1O
49,CHEMBL1227953,CHEMBL1087004,90.0,7.045757490560675,Cc1ccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1
50,CHEMBL1780321,CHEMBL1779949,5.0,8.301029995663981,Cc1nc2cccc[n+]2c(C)c1[O-]
